"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Claire Marie Cottereau;178836451;Modernités plurielles : construire des espaces différenciés. Négociations, adaptations et résistances des Indiens Guarani du littoral de Santa Catarina au Brésil;Vincent Berdoulay;Berdoulay Vincent;026719878;Pau;026403668;Géographie;soutenue;;29-11-2013;fr;2013PAUU1006;oui;26-09-2011;15-12-2015;
Leticia Sello Madoungou;175952078;Le monde rural gabonais entre production et conservation;Jean-Yves Puyo,Xavier Arnauld de Sartre;Puyo Jean-Yves,Arnauld de Sartre Xavier;115879382,073925713;Pau;026403668;Géographie;soutenue;;05-12-2013;fr;2013PAUU1002;oui;26-09-2011;15-12-2015;
Thi Thu TrangVincent Ngo;177552468;Périurbanisation et Modernité à Hô Chi Minh-Ville. Etude du cas de l 'arrondissement Binh Tân.;Vincent Berdoulay,Van Cu Pham;Berdoulay Vincent,Pham Van Cu;026719878,118892754;Pau;026403668;Géographie;soutenue;;13-03-2014;fr;2014PAUU1001;oui;26-09-2011;08-06-2016;
Jean-Christophe Robert Coulom;179503219;La dynamique structurante des sports de nature en milieu urbain : le cas palois.;Olivier Bessy;Bessy Olivier;031060528;Pau;026403668;Géographie;soutenue;;06-06-2014;fr;2014PAUU1007;oui;26-09-2011;15-12-2015;
Tammam Fadel;219974020;La construction d'une métropole dominante - Le problème de l'étalement urbain dans la région Damascène (Syrie);Yves Poinsot,Frédéric Tesson;Poinsot Yves,Tesson Frédéric;113643152,052844315;Pau;026403668;Géographie;soutenue;;29-11-2016;fr;2016PAUU1017;oui;26-09-2011;07-11-2017;
Catherine Sicart;076942503;Essai de redéfinition du tourisme;Nicolas Peypoch;Peypoch Nicolas;112271693;Perpignan;026403692;Géographie;soutenue;;24-11-2015;fr;2015PERP0028;non;25-09-2015;19-12-2017;
Noémie Rapegno;185173292;Etablissements d’hébergement pour adultes handicapés en France : enjeux territoriaux et impacts sur la participation sociale des usagers : application aux régions Ile-de-France et Haute-Normandie;Jean-François Ravaud,Jeanne-Marie Amat-Roze;Ravaud Jean-François,Amat-Roze Jeanne-Marie;03350105X,050623184;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2014;fr;2014EHES0098;non;26-09-2011;19-12-2017;
Mickael Aubout;176232214;Géographie politique et militaire du réseau des bases aériennes françaises (1909-2012);Jean-Robert Pitte;Pitte Jean-Robert;027075486;Paris 4;026403633;Géographie;soutenue;;06-12-2013;fr;2013PA040105;non;26-09-2011;19-12-2017;
Yohann Le Moigne;182821021;Concentration spatiale et relations interraciales : analyse géopolitique des rivalités criminelles et politiques entre Afro-Américains et Latinos dans la ville de Compton (Californie);Frédérick Douzet;Douzet Frédérick;059152222;Paris 8;026403552;Geographie;soutenue;;02-12-2014;fr;2014PA080026;oui;26-05-2014;19-12-2017;
Yves Duchere;19146418X;Métropolisation, gouvernance de l’environnement et enjeux de pouvoir : le cas de trois clusters de villages de métier de Ha Noi et Bac Ninh (Vietnam);Béatrice Giblin,Sylvie Fanchette;Giblin Béatrice,Fanchette Sylvie;026890429,05661523X;Paris 8;026403552;Géographie;soutenue;;23-06-2015;fr;2015PA080034;non;18-02-2016;19-12-2017;
Joan Perez;193093049;Spatial structures in India in the age of globalisation : a data-driven approach;François Moriconi-Ebrard,Giovanni Fusco;Moriconi-Ebrard François,Fusco Giovanni;032676786,077188705;Avignon;026369044;Géographie;soutenue;;17-12-2015;fr;2015AVIG1151;oui;27-04-2015;23-06-2016;
Joël Querci;220261202;Du réseau aux systèmes de villes : un siècle d'urbanisation indienne;Sébastien Oliveau;Oliveau Sébastien;083227210;Aix-Marseille;15863621X;Géographie;soutenue;;25-11-2016;fr;2016AIXM3064;non;26-04-2014;19-12-2017;
Vincent Laureau;176577467;La ville et la terre, apprendre de Bamako : le cas de Bozobuguni, un quartier autoconstruit;Philippe Gervais-Lambony,Philippe Potié;Gervais-Lambony Philippe,Potié Philippe;033124205,034509534;Paris 10;026403587;Géographie;soutenue;;14-02-2014;fr;2014PA100018;oui;26-09-2011;06-01-2018;
Issa Sory;168817578;"Ouaga la belle !" gestion des déchets solides à Ouagadougou : enjeux politiques, jeux d'acteurs et inégalités environnementales;Bernard Tallet;Tallet Bernard;061167835;Paris 1;027361802;Géographie;soutenue;;01-01-2013;fr;2013PA010523;non;24-05-2013;22-10-2017;
Youssouf Abdillahi;188309462;La diaspora de la Grande Comore à Marseille et son apport sur le développement de l'île;François Taglioni;Taglioni François;033886067;La Réunion;026404451;Géographie;soutenue;;01-12-2012;fr;2012LARE0021;oui;26-09-2011;10-10-2017;
Cédric Cuccia;199605246;Impacts du changement climatique sur la phénologie du Pinot noir en Bourgogne;Yves Richard,Thierry Castel,Benjamin Bois;Richard Yves,Castel Thierry,Bois Benjamin;113760345,199523304,199605262;Dijon;02819005X;Géographie;soutenue;;14-05-2013;fr;2013DIJOS094;oui;26-09-2011;16-06-2017;
Boris Bègue;114309841;Transports et urbanisation à La Réunion : le rôle de l’accessibilité dans les phénomènes de périurbanisation et de dépendance automobile, modélisation systémique sur la région Est-Nord-Est;Jean-Michel Jauze;Jauze Jean-Michel;035087501;La Réunion;026404451;Géographie;soutenue;;30-09-2013;fr;2013LARE0023;oui;26-09-2011;03-06-2017;
Marie Bridonneau;175698708;Lalibela, une petite ville d’Ethiopie amarrée au monde : analyse des recompositions spatiales, sociales et politiques dans une petite ville patrimoniale, sacrée et touristique;Philippe Gervais-Lambony,Sabine Planel;Gervais-Lambony Philippe,Planel Sabine;033124205,078095050;Paris 10;026403587;Géographie;soutenue;;31-01-2013;fr;2013PA100025;non;26-09-2011;18-02-2014;
Morgan Berger;166664626;L'accessibilité aux soins des hémophiles en Bretagne;Raymonde Séchet,Erwan Quesseveur;Séchet Raymonde,Quesseveur Erwan;029713595,069694370;Rennes 2;054447658;Géographie;soutenue;;04-12-2012;fr;2012REN20046;oui;26-09-2011;15-01-2013;
Camille Demené;180849506;Entre nature et agriculture. Agricultures patrimoniales et services environnementaux en aire d’adhésion des parcs nationaux à la Réunion et en Guadeloupe;Gilles Lajoie;Lajoie Gilles;031442897;La Réunion;026404451;Géographie;soutenue;;16-01-2013;fr;2013LARE0009;oui;26-09-2011;03-06-2017;
Yann Fléty;181572656;Vers une mise en observation des systèmes énergétiques territoriaux : une approche géographique pour territorialiser l'énergie;Marie Hélène de Sède-Marceau,Christophe Claramunt;Sède-Marceau Marie Hélène de,Claramunt Christophe;11866493X,060909102;Besançon;026403188;Géographie;soutenue;;28-01-2014;fr;2014BESA1001;oui;26-09-2011;16-06-2017;
France Daupras;191537926;Envisager la vigilance crues comme système organisationnel : les conditions de sa robustesse en territoires inondés dans le bassin Adour-Garonne (Sud-Ouest de la France);Jean-Marc Antoine;Antoine Jean-Marc;127455930;Toulouse 2;026403994;Géographie;soutenue;;18-12-2015;fr;2015TOU20128;oui;26-09-2011;23-02-2016;
Nathan Dos Santos Debortoli (Debortoli Dos Santos);174172907;Régime des pluies et déforestation en Amazonie Méridionale;Vincent Dubreuil,Saulo Rodrigues Filho;Dubreuil Vincent,Filho Saulo Rodrigues;057532974,174173032;Rennes 2;054447658;Géographie;soutenue;;05-07-2013;fr;2013REN20037;oui;26-09-2011;14-11-2013;
Dalida Hoyek;178381810;Les établissements scolaires au Liban : terrain d’éducation au développement durable;Jean-Paul Amat,Jocelyne Adjizian-Gérard;Amat Jean-Paul,Adjizian-Gérard Jocelyne;029639204,114141525;Paris 4;026403633;Géographie;soutenue;;28-03-2014;fr;2014PA040015;non;26-09-2011;04-04-2017;
Ababacar Fall;190577258;Le Ferlo sénégalais : approche géographique de la vulnérabilité des anthroposystèmes sahéliens;Frédéric Alexandre;Alexandre Frédéric;057505284;Paris 13;02640463X;Géographie;soutenue;;24-10-2014;fr;2014PA131028;non;26-09-2011;11-01-2016;
Xavier Girardet;147995469;Paysage & [et] infrastructures de transport : modélisation des impacts des infrastructures sur les réseaux écologiques;Jean-Christophe Foltête;Foltête Jean-Christophe;112109616;Besançon;026403188;Géographie;soutenue;;11-12-2013;fr;2013BESA1032;oui;26-09-2011;16-06-2017;
Olivier Hoffer;18604058X;Quand le littoral se ferme. Quelle gouvernance de l'accès et des usages de l'interface littorale dans les agglomérations d'Auckland, Nouméa et Port-Vila ?;François Taglioni;Taglioni François;033886067;La Réunion;026404451;Géographie;soutenue;;10-12-2013;fr;2013LARE0026;non;26-09-2011;28-01-2016;
Sylvie Hoareau;142532002;De la perception de l'espace dans les quartiers à la prospective territoriale : analyse de l'urbanisation à la Réunion;Jean-Michel Jauze,Thierry Simon;Jauze Jean-Michel,Simon Thierry;035087501,151362661;La Réunion;026404451;Géographie;soutenue;;23-09-2013;fr;2013LARE0025;oui;26-09-2011;03-06-2017;
Hajer Mejri;172219167;Paléorivages marins pléistocènes du littoral est tunisien : chronologie IRSL, paléoenvironnements et régime tectonique;Sanda Balescu,Samir Bouaziz;Balescu Sanda,Bouaziz Samir;120530139,172208408;Lille 1;026404184;Géographie;soutenue;;23-11-2012;fr;2012LIL10132;oui;26-09-2011;03-02-2014;
Erwan Le Goff;166656879;Les Villes-Santé en Bretagne : quels choix de gestion et d'aménagement des espaces ?;Olivier David,Raymonde Séchet;David Olivier,Séchet Raymonde;069626766,029713595;Rennes 2;054447658;Géographie;soutenue;;04-12-2012;fr;2012REN20051;oui;26-09-2011;15-01-2013;
Stephan Kamps;191814571;Dual-agent simulation model of the residential development process : an institutional approach to explaining the spatial patterns of residential developments in France, England and the Netherlands;Pierre Frankhauser,Cécile Tannier;Frankhauser Pierre,Tannier Cécile;033614431,059840218;Besançon;026403188;Géographie;soutenue;;22-02-2013;en;2013BESA1010;oui;26-09-2011;16-06-2017;
María Dolores Linares;177043571;Integración regional, fronteras e identidades en tensión : el caso de las ciudades de Posadas (Argentina), Encarnación (Paraguay) y El Puente San Roque González de Santa Cruz;Alain Musset,Susana María Sassone;Musset Alain,Sassone Susana María;027043320,059354259;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2013;fr;2013EHES0136;non;26-09-2011;21-10-2017;
Ibrahim Mohamed;09850231X;L’eau en Grande Comore : étude de cas d’un petit espace insulaire abondamment arrosé mais en situation de pénurie d’eau;Pierre-Marie Decoudras;Decoudras Pierre-Marie;032321856;La Réunion;026404451;Géographie;soutenue;;03-12-2012;fr;2012LARE0019;non;26-09-2011;10-10-2017;
Pacôme Tsamoye;176837728;La mondialisation des échanges agricoles : quels impacts sur la sécurité alimentaire au Gabon et au Cameroun ?;Christine Margetic;Margetic Christine;082083282;Nantes;026403447;Géographie;soutenue;;01-01-2013;fr;2013NANT3031;oui;26-09-2011;29-11-2017;
Clémence Macron;184437822;Les Talwegs Tropicaux Tempérés en Afrique australe : mécanismes et évolution face au changement climatique (2010-2099);Yves Richard,Benjamin Pohl;Richard Yves,Pohl Benjamin;113760345,184438039;Dijon;02819005X;Géographie;soutenue;;01-07-2014;fr;2014DIJOS057;oui;26-09-2011;16-06-2017;
Daenis Otsa'a Nguema;185906133;Sécurité et sûreté maritimes dans le golfe de Guinée : Diagnostic et évaluation des politiques pour un apport conceptuel et pratique de la sécurisation maritime régionale;Jacques Guillaume;Guillaume Jacques;031182127;Nantes;026403447;Géographie;soutenue;;01-01-2015;fr;2015NANT3004;oui;26-09-2011;20-10-2017;
Kawtar Najib;192066552;Dynamiques socio-spatiales et modes d'habiter des espaces urbains : comparaison de Besançon, Mulhouse et Strasbourg;Pierre Frankhauser,Anne Griffond-Boitier;Frankhauser Pierre,Griffond-Boitier Anne;033614431,166882186;Besançon;026403188;Géographie;soutenue;;19-09-2013;fr;2013BESA1022;oui;26-09-2011;16-06-2017;
Géraldine Pellé;18156842X;Itineraires de goûts singuliers autour de la montagne;Hélène Guetat-Bernard,Bernard Debarbieux;Guetat-Bernard Hélène,Debarbieux Bernard;085784524,030083257;Toulouse 2;026403994;Géographie;soutenue;;20-12-2013;fr;2013TOU20151;non;26-09-2011;07-06-2016;
Carole Nehme;177884401;Apport de l'endokarst dans la reconstitution des paléogéographies et des environnements passés du Mont Liban : application aux vallées de Nahr Antelias et de Nahr el-Kelb;Jean-Jacques Delannoy,Jocelyne Adjizian-Gérard;Delannoy Jean-Jacques,Adjizian-Gérard Jocelyne;029298237,114141525;Grenoble;030327202;Géographie;soutenue;;30-04-2013;fr;2013GRENA006;oui;26-09-2011;24-04-2014;
Pascal Papillon;176467858;Les forêts périurbaines : des espaces récréatifs à la fonction prophylactique : le cas des aires urbaines d'Alençon, de Blois et du Mans;Rodolphe Dodier;Dodier Rodolphe;081174667;Le Mans;026404435;Géographie;soutenue;;31-01-2014;fr;2014LEMA3001;oui;26-09-2011;10-07-2017;
Marion Maisonobe;189844566;Etudier la géographie des activités et des collectifs scientifiques dans le monde : de la croissance du système de production contemporain aux dynamiques d'une spécialité, la réparation de l'ADN;Denis Eckert;Eckert Denis;057023298;Toulouse 2;026403994;Géographie;soutenue;;17-09-2015;fr;2015TOU20055;oui;26-09-2011;30-11-2015;
Mehdi Maanan;181249723;Impact des changements de l'occupation des sols sur l'état de l'environnement dans des écosystèmes côtiers : cas des lagunes d'Oualidia et de Moulay Bousselham (façade atlantique marocaine);Paul Fattal,Mohamed Sahabi;Fattal Paul,Sahabi Mohamed;031069452,169587010;Nantes;026403447;Géographie;soutenue;;01-01-2013;fr;2013NANT3042;oui;26-09-2011;29-11-2017;
Stavros-Nikiforos Spyrellis;175929998;Division sociale de l'espace métropolitain d'Athènes : facteurs économiques et enjeux scolaires;Catherine Rhein;Rhein Catherine;02709751X;Paris 7;027542084;Géographie;soutenue;;01-01-2013;en;2013PA070050;non;26-09-2011;21-10-2017;
Marion Le Texier;176714375;Les circulations internationales en Europe au XIXe siècle : de l'étude des circulations monétaires à la modélisation d'un système complexe;Claude Grasland,Geoffroy Caruso;Grasland Claude,Caruso Geoffroy;067285953,176714243;Paris 7;027542084;Géographie;soutenue;;01-01-2014;fr;2014PA070001;non;26-09-2011;21-10-2017;
Tania Rodriguez Echavarria;185916074;Gouverner l'environnement dans des régions frontalières : coopération et conflits dans les bassins du fleuve San Juan (Costa Rica-Nicaragua) et du fleuve Sixaola (Costa Rica-Panamá);Laurent Faret,Lucile Medina-Nicolas;Faret Laurent,Medina-Nicolas Lucile;073452262,084058897;Paris 7;027542084;Géographie;soutenue;;01-01-2014;fr;2014PA070096;non;26-09-2011;21-10-2017;
Nicoleta Ticana;;L'extension périurbaine de Bucarest depuis 1989;Jean Soumagne;Soumagne Jean;028316460;Angers;;Géographie;soutenue;;01-01-2013;fr;2013ANGE0012;oui;26-09-2011;04-12-2017;
Emmanuel Trouillard;184150183;La production de logements neufs par la promotion privée en Ile-de-France (1984-2012) : marchés immobiliers et stratégies de localisation;Catherine Rhein;Rhein Catherine;02709751X;Paris 7;027542084;Géographie;soutenue;;01-01-2014;en;2014PA070071;non;26-09-2011;20-10-2017;
Dongkun Yim;185954634;Gouverner séoul : orgnisation de l'espace urbain et contrôle des populations;Philippe Cadène;Cadène Philippe;070122369;Paris 7;027542084;Géographie;soutenue;;01-01-2014;fr;2014PA070098;non;26-09-2011;28-11-2017;
Rébecca Dargirolle;189220600;Les exclus de la mobilité : de l'observation à la décision;Thomas Thévenin,Benjamin Motte;Thévenin Thomas,Motte Benjamin;034623388,110251237;Dijon;02819005X;Géographie;soutenue;;18-12-2014;fr;2014DIJOL040;oui;26-01-2012;20-11-2017;
Adrien Roussot;199524548;Hospitalisations de patients en Bourgogne et dans neuf autres régions métropolitaines, analyse territoriale des flux interrégionaux à partir de la base nationale du PMSI-MCO;Catherine Quantin,Jeanne-Marie Amat-Roze;Quantin Catherine,Amat-Roze Jeanne-Marie;059359900,050623184;Dijon;02819005X;Géographie;soutenue;;11-12-2015;fr;2015DIJOL030;oui;03-02-2012;04-07-2017;
Paul-Arthur Monerie;176047409;Le changement climatique en région de mousson africaine : évolution des champs pluviométriques et atmosphériques dans les simulations CMIP3 et CMIP5 sous scénario A1B et rcp45 (1960-1999, 2031-2070);Bernard Fontaine,Pascal Roucou;Fontaine Bernard,Roucou Pascal;176048014,130957925;Dijon;02819005X;Géographie;soutenue;;18-06-2013;fr;2013DIJOS025;oui;03-04-2012;16-06-2017;
Joseph Boyard-Micheau;182132293;Prévisibilité potentielle des variables climatiques à impact agricole en Afrique de l'Est et application au sorgho dans la région du mont Kenya;Pierre Camberlin;Camberlin Pierre;113760167;Dijon;02819005X;Géographie;soutenue;;22-11-2013;fr;2013DIJOS075;oui;13-04-2012;16-06-2017;
Sébastien Rapinel;163971455;Contribution de la télédétection à l’évaluation des fonctions des zones humides : de l’observation à la modélisation prospective;Laurence Hubert-Moy,Bernard Clément,Pascal Kosuth;Hubert-Moy Laurence,Clément Bernard,Kosuth Pascal;084108452,102423326,156594749;Rennes 2;054447658;Géographie;soutenue;;03-09-2012;fr;2012REN20029;oui;12-09-2012;12-09-2012;
